Region,Latin_Name,Species,Age,Sex,AIV,Province,Sampling_Site,Weather_Station_nearest,Day_sampling,Month_sampling,Year_sampling,Stratum_of_density_estimates,Population_Density,Pond_Density,Percent_MALL,Hunting_Zone,Percent_HY,Sampling_Latitude,Sampling_Longitude,Temperature
Prairie Provinces,Anas discors,BWTE,HY,M,0,AB,Frank Lake,3031480,23,7,2005,28,9.074658779,1.587272264,28.46971682,AB-1,71.86761229,50.3,-113.4,16.95
Prairie Provinces,Anas acuta,NOPI,HY,M,0,AB,Cardinal Lake,3075040,23,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,15.07857143
Prairie Provinces,Anas acuta,NOPI,HY,M,0,AB,Cardinal Lake,3075040,23,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,15.07857143
Prairie Provinces,Anas discors,BWTE,HY,F,0,AB,Frank Lake,3031480,24,7,2005,28,9.074658779,1.587272264,28.46971682,AB-1,71.86761229,50.3,-113.4,16.78571429
Prairie Provinces,Anas platyrhynchos,MALL,HY,M,0,AB,Frank Lake,3031480,25,7,2005,28,9.074658779,1.587272264,28.46971682,AB-1,71.86761229,50.3,-113.4,16.6
Prairie Provinces,Anas acuta,NOPI,HY,M,0,AB,Cardinal Lake,3075040,25,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.82142857
Prairie Provinces,Anas acuta,NOPI,HY,M,0,AB,Cardinal Lake,3075040,25,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.82142857
Prairie Provinces,Anas acuta,NOPI,HY,M,0,AB,Cardinal Lake,3075040,25,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.82142857
Prairie Provinces,Anas acuta,NOPI,HY,M,0,AB,Cardinal Lake,3075040,25,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.82142857
Prairie Provinces,Anas acuta,NOPI,HY,M,0,AB,Cardinal Lake,3075040,25,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.82142857
Prairie Provinces,Anas acuta,NOPI,HY,M,0,AB,Cardinal Lake,3075040,25,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.82142857
Prairie Provinces,Anas acuta,NOPI,HY,M,0,AB,Cardinal Lake,3075040,25,7,2005,76,6.759433908,4.399389385,44.96930769,AB-2,75.12820513,56.1,-117.4,14.82142857
Prairie Provinces,Anas platyrhynchos,MALL,HY,F,0,AB,Frank Lake,3031480,26,7,2005,28,9.074658779,1.587272264,28.46971682,AB-1,71.86761229,50.3,-113.4,16.35714286
Prairie Provinces,Anas acuta,NOPI,HY,F,0,AB,Frank Lake,3031480,27,7,2005,28,9.074658779,1.587272264,28.46971682,AB-1,71.86761229,50.3,-113.4,16.22857143
Prairie Provinces,Anas discors,BWTE,HY,F,0,AB,Frank Lake,3031480,28,7,2005,28,9.074658779,1.587272264,28.46971682,AB-1,71.86761229,50.3,-113.4,16.46428571
